SAM Notice ID,Buy #,Contract #,NAICS,Date Bid Submitted,Marketplace,Due Date,Manufacturer,Man. P/N,Description,Qty.,Mft. Cost,Profit,Bid Price,Total Value,End Bid Position,Shipping Req?,Agency/Department,Sub- agency,POC Email,Delivery Location,Contracting Office,Award?,Winner,Winning Price,Delta Price
FHL-0024,1140967,,333415,05/30/2023,Unison,06/07/2023,Koldwave,6HK144BBA2ACA0,,8,,,,178000.00,LAG,Palletized Units: MIL-STD-147E,DOD - ARMY,MISSION & INSTALLATION CONTRACTING COMMAND,MarketplaceSupport@unisonglobal.com,"FT Hunter Ligget, CA",FT Drum,NO,"PORTABLE AIR GROUP, LLC [UEI: M6M9KP8BZDK5]
","$172,601.52","$5,398.48"
,1140417,W911S223P0781,333415,06/01/2023,Unison,06/07/2023,York,Mult.,rooftop,1,,,,15340.00,LEAD,"IUID, MIL-STD-129",DOD - ARMY,MISSION & INSTALLATION CONTRACTING COMMAND,,"FT DETRICK, MD",,YES,N/A,,
,1141867,,335210,06/12/2023,Unison,06/13/2023,HEAT CONTROLLER,BHD-50A,dehumidifiers,122,,,,33928.20,LAG,,DOD - ARMY,MISSION & INSTALLATION CONTRACTING COMMAND,,"FORT STEWART, GA",,NO,"MATODA LLC [UEI: CXA8T66JCKP3]
","$18,469.58","$15,458.62"
,1142084,,333415,06/20/2023,Unison,06/20/2023,York,ZJ090C00R4A1AAA1A3,,1,,,,14600.00,LAG,,DOD - ARMY,MISSION & INSTALLATION CONTRACTING COMMAND,,"Yuma Proving Ground, AZ",,NO,"ACCENTZ, INC. DBA AMPLIDYNE [UEI: VEWPLY1UA1T5]","$14,008.00",$592.00
FCKY_USAG_OM_06162023,1143204,,333415,06/23/2023,Unison,06/23/2023,Daikin,AGZ081E,80-ton rooftop,1,,,,99652.50,LAG,,DOD - ARMY,MISSION & INSTALLATION CONTRACTING COMMAND,,"FT CAMPBELL, TN",,CANCELLED,,,
,1143011,,333415,06/30/2023,Unison,06/30/2023,York,Mult.,Chiller Parts,20,,,,66785.05,LAG,,DOD - ARMY,,,"New Brunswick, NJ",,NO,SAM LOGISTICS AND SUPPLIES INC [UEI: KEPKGY4Z43K3],"$33,634.71","$33,150.34"
N/A,RFQ-WC230580(A),,N/A,07/11/2023,Bidnet Direct,07/11/2023,MITSUBISHI,PCA-A36KA7.TH + Mult.,Heat Pump,1,,,,8500.00,N/A,None,Westchester County,,mad5@westchestercountyny.gov,"Valhalla, NY",,NO,,,
BTD_FY23_008,1144219,,332410,07/13/2023,Unison,07/17/2023,SUSSMAN,"SSB-180, SSB38020A",Industrial Boilers,3,,,,188160.00,LAG,MIL-STD-130,DOD - ARMY,MISSION & INSTALLATION CONTRACTING COMMAND,,"DUGWAY, UT",,REPOSTED,,,
BRAGDPWDMO0024,1146088,,333415,,Unison,07/20/2023,York,YD240C00A4AAA5,Split AC w Valves,1,,,,13688.00,,,DOD - ARMY,,,,,CANCELLED,,,
BTD_FY23_008,1144219_01,,332410,07/26/2023,Unison,07/26/2023,SUSSMAN,"SSB-180, SSB38020A",Industrial Boilers,3,,,,202000.00,LAG,,DOD - ARMY,MISSION & INSTALLATION CONTRACTING COMMAND,,"DUGWAY, UT",,REPOSTED,,,
FRKS_2023_07_25,1147498,,333415,NO BID,Unison,07/27/2023,Movin Cool,Climate Pro X20,Climate Pro X20,3,,,,,,,DOD - ARMY,MISSION & INSTALLATION CONTRACTING COMMAND,,"FORT RILEY, KS",,NO BID,,,
,1144615,,326191,07/27/2023,Unison,07/27/2023,Mult.,,Plumbing supplies,120,,,,27030.15,LAG,,DOD - ARMY,MISSION & INSTALLATION CONTRACTING COMMAND,,"FT DIX, NJ",,NO,JOURMIK LLC [UEI: ZYPETGFPAXN9],"$27,774.97",-$744.82
